Numéro de compte;Intitulé du compte
10;CAPITAL
101;CAPITAL SOCIAL
1011;Capital souscrit, non appelé
1012;Capital souscrit, appelé, non versé
1013;Capital souscrit, appelé, versé, non amorti
1014;Capital souscrit, appelé, versé, amorti
1018;Capital souscrit soumis à des conditions particulières
102;CAPITAL PAR DOTATION
1021;Dotation initiale
1022;Dotations complémentaires
1028;Autres dotations
103;CAPITAL PERSONNEL
104;COMPTE DE L'EXPLOITANT
1041;Apports temporaires
1042;Opérations courantes
1043;Rémunérations, impôts et autres charges personnelles
1047;Prélèvements d'autoconsommation
1048;Autres prélèvements
105;PRIMES LIÉES AUX CAPITAUX PROPRES
1051;Primes d'émission
1052;Primes d'apport
1053;Primes de fusion
1054;Primes de conversion
1058;Autres primes
106;ÉCARTS DE RÉÉVALUATION
1061;Écarts de réévaluation légale
1062;Écarts de réévaluation libre
109;ACTIONNAIRES, CAPITAL SOUSCRIT, NON APPELÉ
11;RÉSERVES
111;RÉSERVE LÉGALE
112;RÉSERVES STATUTAIRES OU CONTRACTUELLES
113;RÉSERVES RÉGLEMENTÉES
1131;Réserves de plus-values nettes à long terme
1133;Réserves consécutives à l’octroi de subventions d’investissement
1138;Autres réserves réglementées
118;AUTRES RÉSERVES
1181;Réserves facultatives
1188;Réserves diverses
12;REPORT À NOUVEAU
121;REPORT À NOUVEAU CRÉDITEUR
129;REPORT À NOUVEAU DÉBITEUR
1291;Perte nette à reporter
1292;Perte - Amortissements réputés différés
13;RÉSULTAT NET DE L’EXERCICE
130;RÉSULTAT EN INSTANCE D’AFFECTATION
1301;Résultat en instance d’affectation : Bénéfice
1309;Résultat en instance d’affectation : Perte
131;RÉSULTAT NET : BÉNÉFICE
132;MARGE BRUTE (M.B.)
1321;Marge brute sur marchandises
1322;Marge brute sur matières
133;VALEUR AJOUTÉE (V.A.)
134;EXCÉDENT BRUT D’EXPLOITATION (E.B.E.)
135;RÉSULTAT D’EXPLOITATION (R.E.)
136;RÉSULTAT FINANCIER (R.F.)
137;RÉSULTAT DES ACTIVITÉS ORDINAIRES (R.A.O.)
138;RÉSULTAT HORS ACTIVITÉS ORDINAIRES (R.H.A.O.)
139;RÉSULTAT NET : PERTE
14;SUBVENTIONS D’INVESTISSEMENT
141;SUBVENTIONS D’ÉQUIPEMENT A
1411;État
1412;Régions
1413;Départements
1414;Communes et collectivités publiques décentralisées
1415;Entreprises publiques ou mixtes
1416;Entreprises et organismes privés
1417;Organismes internationaux
1418;Autres
142;SUBVENTIONS D’ÉQUIPEMENT B
148;AUTRES SUBVENTIONS D’INVESTISSEMENT
15;PROVISIONS RÈGLEMENTÉES ET FONDS ASSIMILÉS
151;AMORTISSEMENTS DÉROGATOIRES
152;PLUS-VALUES DE CESSION À RÉINVESTIR
153;FONDS RÉGLEMENTÉS
1531;Fonds National
1532;Prélèvement pour le Budget
154;PROVISION SPÉCIALE DE RÉÉVALUATION
155;PROVISIONS RÈGLEMENTÉES RELATIVES AUX IMMOBILISATIONS
1551;Reconstitution des gisements miniers et pétroliers
156;PROVISIONS RÈGLEMENTÉES RELATIVES AUX STOCKS
1561;Hausse de prix
1562;Fluctuation des cours
157;PROVISIONS POUR INVESTISSEMENT
158;AUTRES PROVISIONS ET FONDS RÉGLEMENTES
16;EMPRUNTS ET DETTES ASSIMILÉES
161;EMPRUNTS OBLIGATAIRES
1611;Emprunts obligataires ordinaires
1612;Emprunts obligataires convertibles
1618;Autres emprunts obligataires
162;EMPRUNTS ET DETTES AUPRÈS DES ÉTABLISSEMENTS DE CRÉDIT
163;AVANCES REÇUES DE L'ÉTAT
164;AVANCES REÇUES ET COMPTES COURANTS BLOQUÉS
165;DÉPÔTS ET CAUTIONNEMENTS RECUS
1651;Dépôts
1652;Cautionsements
166;INTÉRÊTS COURUS
1661;sur emprunts obligataires
1662;sur emprunts et dettes auprès des établissements de crédit
1663;sur avances reçues de l'État
1664;sur avances reçues et comptes courants bloqués
1665;sur dépôts et cautionnements reçus
1667;sur avances assorties de conditions particulières
1668;sur autres emprunts et dettes
167;AVANCES ASSORTIES DE CONDITIONS PARTICULIÈRES
1671;Avances bloquées pour augmentation du capital
1672;Avances conditionnées par l'État
1673;Avances conditionnées par les autres organismes africains
1674;Avances conditionnées par les organismes internationaux
1676;Droits du concédant exigibles en nature
168;AUTRES EMPRUNTS ET DETTES
1681;Rentes viagères capitalisées
1682;Billets de fonds
1683;Dettes consécutives à des titres empruntés
1684;Dettes du concédant exigibles en nature
1685;Emprunts participatifs
1686;Participation des travailleurs aux bénéfices
17;DETTES DE CRÉDIT - BAIL ET CONTRATS ASSIMILÉS
172;EMPRUNTS ÉQUIVALENTS DE CRÉDIT - BAIL IMMOBILIER
173;EMPRUNTS ÉQUIVALENTS DE CRÉDIT - BAIL MOBILIER
176;INTÉRÊTS COURUS
1762;sur emprunts équivalents de crédit – bail immobilier
1763;sur emprunts équivalents de crédit – bail mobilier
1768;sur emprunts équivalents d'autres contrats
178;EMPRUNTS ÉQUIVALENTS D'AUTRES CONTRATS
18;DETTES LIÉES À DES PARTICIPATIONS ET COMPTES DE LIAISON DES ÉTABLISSEMENTS ET SOCIÉTÉS EN PARTICIPATION
181;DETTES LIÉES À DES PARTICIPATIONS
1811;Dettes liées à des participations (groupe)
1812;Dettes liées à des participations (hors groupe)
182;DETTES LIÉES À DES SOCIÉTÉS EN PARTICIPATION
183;INTÉRÊTS COURUS SUR DETTES LIÉES À DES PARTICIPATIONS
184;COMPTES PERMANENTS BLOQUÉS DES ÉTABLISSEMENTS ET SUCCURSALES
185;COMPTES PERMANENTS NON BLOQUÉS DES ÉTABLISSEMENTS ET SUCCURSALES
186;COMPTES DE LIAISON CHARGES
187;COMPTES DE LIAISON PRODUITS
188;COMPTES DE LIAISON DES SOCIÉTÉS EN PARTICIPATION
19;PROVISIONS FINANCIERES POUR RISQUES ET CHARGES
191;PROVISIONS POUR LITIGES
192;PROVISIONS POUR GARANTIES DONNÉES AUX CLIENTS
193;PROVISIONS POUR PERTES SUR MARCHÉS À ACHÈVEMENT FUTUR
194;PROVISIONS POUR PERTES DE CHANGE
195;PROVISIONS POUR IMPÔTS
196;PROVISIONS POUR PENSIONS ET OBLIGATIONS SIMILAIRES
197;PROVISIONS POUR CHARGES À REPARTIR SUR PLUSIEURS EXERCICES
1971;Provisions pour grosses réparations
198;AUTRES PROVISIONS FINANCIÈRES POUR RISQUES ET CHARGES
1981;Provisions pour amendes et pénalités
1982;Provisions pour renouvellement des immobilisations (entreprises concessionnaires)
1983;Provisions de propre assureur
1988;Autres provisions financières pour risques et charges
20;CHARGES IMMOBILISÉES
201;FRAIS D’ÉTABLISSEMENT
2011;Frais de constitution
2012;Frais de prospection
2013;Frais de publicité et de lancement
2014;Frais de fonctionnement antérieurs au démarrage
2015;Frais de modification du capital (fusions, scissions, transformations)
2016;Frais d’entrée à la Bourse
2017;Frais de restructuration
2018;Frais divers d’établissement
202;CHARGES À RÉPARTIR SUR PLUSIEURS EXERCICES
2021;Charges différées
2022;Frais d’acquisition d’immobilisations
2026;Frais d’émission des emprunts
2028;Charges à étaler
206;PRIMES DE REMBOURSEMENT DES OBLIGATIONS
2061;Obligations ordinaires
2062;Obligations convertibles
2068;Autres emprunts obligataires
21;IMMOBILISATIONS INCORPORELLES
211;FRAIS DE RECHERCHE ET DE DÉVELOPPEMENT
212;BREVETS, LICENCES, CONCESSIONS ET DROITS SIMILAIRES
213;LOGICIELS
214;MARQUES
215;FONDS COMMERCIAL
216;DROIT AU BAIL
217;INVESTISSEMENTS DE CRÉATION
218;AUTRES DROITS ET VALEURS INCORPORELS
219;IMMOBILISATIONS INCORPORELLES EN COURS
2191;Frais de recherche et de développement
2193;Logiciels
2198;Autres droits et valeurs incorporels
22;TERRAINS
221;TERRAINS AGRICOLES ET FORESTIERS
2211;Terrains d’exploitation agricole
2212;Terrains d’exploitation forestière
2218;Autres terrains
222;TERRAINS NUS
2221;Terrains à bâtir
2228;Autres terrains nus
223;TERRAINS BÂTIS
2231;pour bâtiments industriels et agricoles
2232;pour bâtiments administratifs et commerciaux
2234;pour bâtiments affectés aux autres opérations professionnelles
2235;pour bâtiments affectés aux autres opérations non professionnelles
2238;Autres terrains bâtis
224;TRAVAUX DE MISE EN VALEUR DES TERRAINS
2241;Plantation d’arbres et d’arbustes
2248;Autres travaux
225;TERRAINS DE GISEMENT
2251;Carrières
226;TERRAINS AMÉNAGÉS
2261;Parkings
227;TERRAINS MIS EN CONCESSION
228;AUTRES TERRAINS
2281;Terrains des immeubles de rapport
2285;Terrains des logements affectés au personnel
2288;Autres terrains
229;AMÉNAGEMENTS DE TERRAINS EN COURS
2291;Terrains agricoles et forestiers
2292;Terrains nus
2295;Terrains de gisement
2298;Autres terrains
23;BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS
231;BÂTIMENTS INDUSTRIELS, AGRICOLES, ADMINISTRATIFS ET COMMERCIAUX SUR SOL PROPRE
2311;Bâtiments industriels
2312;Bâtiments agricoles
2313;Bâtiments administratifs et commerciaux
2314;Bâtiments affectés au logement du personnel
2315;Immeubles de rapport
232;BÂTIMENTS INDUSTRIELS, AGRICOLES, ADMINISTRATIFS ET COMMERCIAUX SUR SOL D’AUTRUI
2321;Bâtiments industriels
2322;Bâtiments agricoles
2323;Bâtiments administratifs et commerciaux
2324;Bâtiments affectés au logement du personnel
2325;Immeubles de rapport
233;OUVRAGES D’INFRASTRUCTURE
2331;Voies de terre
2332;Voies de fer
2333;Voies d’eau
2334;Barrages, Digues
2335;Pistes d’aérodrome
2338;Autres
234;INSTALLATIONS TECHNIQUES
2341;Installations complexes spécialisées sur sol propre
2342;Installations complexes spécialisées sur sol d’autrui
2343;Installations à caractère spécifique sur sol propre
2344;Installations à caractère spécifique sur sol d’autrui
235;AMÉNAGEMENTS DE BUREAUX
2351;Installations générales
2358;Autres
237;BÂTIMENTS INDUSTRIELS, AGRICOLES ET COMMERCIAUX MIS EN CONCESSION
238;AUTRES INSTALLATIONS ET AGENCEMENTS
239;BÂTIMENTS ET INSTALLATIONS EN COURS
24;MATÉRIEL
241;MATÉRIEL ET OUTILLAGE INDUSTRIEL ET COMMERCIAL
2411;Matériel industriel
2412;Outillage industriel
2413;Matériel commercial
2414;Outillage commercial
242;MATÉRIEL ET OUTILLAGE AGRICOLE
2421;Matériel agricole
2422;Outillage agricole
243;MATÉRIEL D'EMBALLAGE RÉCUPÉRABLE ET IDENTIFIABLE
244;MATÉRIEL ET MOBILIER
2441;Matériel de bureau
2442;Matériel informatique
2443;Matériel bureautique
2444;Mobilier de bureau
2446;Matériel et mobilier des immeubles de rapport
2447;Matériel et mobilier des logements du personnel
245;MATÉRIEL DE TRANSPORT
2451;Matériel automobile
2452;Matériel ferroviaire
2453;Matériel fluvial, lagunaire
2454;Matériel naval
2455;Matériel aérien
2456;Matériel hippomobile
2458;Autres (vélo, mobylette, moto)
246;IMMOBILISATIONS ANIMALES ET AGRICOLES
2461;Cheptel, animaux de trait
2462;Cheptel, animaux reproducteurs
2463;Animaux de garde
2465;Plantations agricoles
2468;Autres
247;AGENCEMENTS ET AMÉNAGEMENTS DU MATÉRIEL
248;AUTRES MATÉRIELS
2481;Collections et œuvres d'art
249;MATÉRIEL EN COURS
2491;Matériel et outillage industriel et commercial
2492;Matériel et outillage agricole
2493;Matériel d'emballage récupérable et identifiable
2494;Matériel et mobilier de bureau
2495;Matériel de transport
2496;Immobilisations animales et agricoles
2497;Agencements et aménagements du matériel
2498;Autres matériels
25;AVANCES ET ACOMPTES VERSÉS SUR IMMOBILISATIONS
251;AVANCES ET ACOMPTES VERSÉS SUR IMMOBILISATIONS INCORPORELLES
252;AVANCES ET ACOMPTES VERSÉS SUR IMMOBILISATIONS CORPORELLES
26;TITRES DE PARTICIPATION
261;TITRES DE PARTICIPATION DANS DES SOCIÉTÉS SOUS CONTRÔLE EXCLUSIF
262;TITRES DE PARTICIPATION DANS DES SOCIÉTÉS SOUS CONTRÔLE CONJOINT
263;TITRES DE PARTICIPATION DANS DES SOCIÉTÉS CONFÉRANT UNE INFLUENCE NOTABLE
265;PARTICIPATIONS DANS DES ORGANISMES PROFESSIONNELS
266;PARTS DANS DES GROUPEMENTS D’INTÉRÊT ÉCONOMIQUE (G.I.E.)
268;AUTRES TITRES DE PARTICIPATION
27;AUTRES IMMOBILISATIONS FINANCIÈRES
271;PRÊTS ET CRÉANCES NON COMMERCIALES
2711;Prêts participatifs
2712;Prêts aux associés
2713;Billets de fonds
2714;Titres prêtés
272;PRÊTS AU PERSONNEL
2721;Prêts immobiliers
2722;Prêts mobiliers et d’installation
2728;Autres prêts (frais d’études…)
273;CRÉANCES SUR L’ÉTAT
2731;Retenues de garantie
2733;Fonds réglementé
2738;Autres
274;TITRES IMMOBILISÉS
2741;Titres immobilisés de l’activité de portefeuille (T.I.A.P.)
2742;Titres participatifs
2743;Certificats d’investissement
2744;Parts de fonds commun de placement (F.C.P.)
2748;Autres titres immobilisés
275;DÉPÔTS ET CAUTIONNEMENTS VERSÉS
2751;Dépôts pour loyers d’avance
2752;Dépôts pour l’électricité
2753;Dépôts pour l’eau
2754;Dépôts pour le gaz
2755;Dépôts pour le téléphone, le télex, la télécopie
2756;Cautionnements sur marchés publics
2757;Cautionnements sur autres opérations
2758;Autres dépôts et cautionnements
276;INTÉRÊTS COURUS
2761;Prêts et créances non commerciales
2762;Prêts au personnel
2763;Créances sur l'Etat
2764;Titres immobilisés
2765;Dépôts et cautionnements versés
2767;Créances rattachées à des participations
2768;Immobilisations financières diverses
277;CRÉANCES RATTACHÉES À DES PARTICIPATIONS ET AVANCES À DES G.I.E.
2771;Créances rattachées à des participations (groupe)
2772;Créances rattachées à des participations (hors groupe)
2773;Créances rattachées à des sociétés en participation
2774;Avances à des Groupements d’intérêt économique (G.I.E.)
278;IMMOBILISATIONS FINANCIÈRES DIVERSES
2781;Créances diverses groupe
2782;Créances divers hors groupe
2785;Or et métaux précieux (^)
28;AMORTISSEMENTS
281;AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES
2811;Amortissements des frais de recherche et de développement
2812;Amortissements des brevets, licences, concessions et droits similaires
2813;Amortissements des logiciels
2814;Amortissements des marques
2815;Amortissements du fonds commercial
2816;Amortissements du droit au bail
2817;Amortissements des investissements de création
2818;Amortissements des autres droits et valeurs incorporels
282;AMORTISSEMENTS DES TERRANS
2821;Amortissements des terrains agricoles et forestiers
2824;Amortissements des travaux de mise en valeur des terrains
2825;Amortissements des terrains de gisement
283;AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS
2831;Amortissements des bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre
2832;Amortissements des bâtiments industriels, agricoles, administratifs et commerciaux sur sol d’autrui
2833;Amortissements des ouvrages d’infrastructure
2834;Amortissements des installations techniques
2835;Amortissements des aménagements de bureaux
2837;Amortissements des bâtiments industriels, agricoles et commerciaux mis en concession
2838;Amortissements des autres installations et agencements
284;AMORTISSEMENTS DU MATÉRIEL
2841;Amortissements du matériel et outillage industriel et commercial
2842;Amortissements du matériel et outillage agricole
2843;Amortissements du matériel d’emballage récupérable et identifiable
2844;Amortissements du matériel et mobilier
2845;Amortissements du matériel de transport
2846;Amortissements des immobilisations animales et agricoles
2847;Amortissements des agencements et aménagements du matériel
2848;Amortissements des autres matériels
29;PROVISIONS POUR DÉPRÉCIATION
291;PROVISIONS POUR DÉPRÉCIATION DES IMMOBILISATIONS INCORPORELLES
2912;Provisions pour dépréciation des brevets, licences, concessions et droits similaires
2913;Provisions pour dépréciation des logiciels
2914;Provisions pour dépréciation des marques
2915;Provisions pour dépréciation du fonds commercial
2916;Provisions pour dépréciation du droit au bail
2917;Provisions pour dépréciation des investissements de création
2918;Provisions pour dépréciation des autres droits et valeurs incorporels
2919;Provisions pour dépréciation des immobilisations incorporelles en cours
292;PROVISIONS POUR DÉPRÉCIATION DES TERRANS
2921;Provisions pour dépréciation des terrains agricoles et forestiers
2922;Provisions pour dépréciation des terrains nus
2923;Provisions pour dépréciation des terrains bâtis
2924;Provisions pour dépréciation des travaux de mise en valeur des terrains
2925;Provisions pour dépréciation des terrains de gisement
2926;Provisions pour dépréciation des terrains aménagés
2927;Provisions pour dépréciation des terrains mis en concession
2928;Provisions pour dépréciation des autres terrains
293;PROVISIONS POUR DÉPRÉCIATION DES AMÉNAGEMENTS DE TERRAINS EN COURS
2931;Provisions pour dépréciation des bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre
2932;Provisions pour dépréciation des bâtiments industriels, agricoles, administratifs et commerciaux sur sol d’autrui
2933;Provisions pour dépréciation des ouvrages d’infrastructures
2934;Provisions pour dépréciation des installations techniques
2935;Provisions pour dépréciation des aménagements de bureaux
2937;Provisions pour dépréciation des bâtiments industriels, agricoles et commerciaux mis en concession
2938;Provisions pour dépréciation des autres installations et agencements
2939;Provisions pour dépréciation des bâtiments et installations en cours
294;PROVISIONS POUR DÉPRÉCIATION DE MATÉRIEL
2941;Provisions pour dépréciation du matériel et outillage industriel et commercial
2942;Provisions pour dépréciation du matériel et outillage agricole
2943;Provisions pour dépréciation du matériel d’emballage récupérable et identifiable
2944;Provisions pour dépréciation du matériel et mobilier
2945;Provisions pour dépréciation du matériel de transport
2946;Provisions pour dépréciation des immobilisations animales et agricoles
2947;Provisions pour dépréciation des agencements et aménagements du matériel
2948;Provisions pour dépréciation des autres matériels
2949;Provisions pour dépréciation de matériel en cours
295;PROVISIONS POUR DÉPRÉCIATION DES AVANCES ET ACOMPTES VERSÉS SUR IMMOBILISATIONS
2951;Provisions pour dépréciation des avances et acomptes versés sur immobilisations incorporelles
2952;Provisions pour dépréciation des avances et acomptes versés sur immobilisations corporelles
296;PROVISIONS POUR DÉPRÉCIATION DES TITRES DE PARTICIPATION
2961;Provisions pour dépréciation des titres de participation dans des sociétés sous contrôle exclusif
2962;Provisions pour dépréciation des titres de participation dans les sociétés sous contrôle conjoint
2963;Provisions pour dépréciation des titres de participation dans les sociétés conférant une influence notable
2965;Provisions pour dépréciation des participations dans des organismes professionnels
2966;Provisions pour dépréciation des parts dans des GIE
2968;Provisions pour dépréciation des autres titres de participation
297;PROVISIONS POUR DÉPRÉCIATION DES AUTRES IMMOBILISATIONS FINANCIÈRES
2971;Provisions pour dépréciation des prêts et créances non commerciales
2972;Provisions pour dépréciation des prêts au personnel
2973;Provisions pour dépréciation des créances sur l’Etat
2974;Provisions pour dépréciation des titres immobilisés
2975;Provisions pour dépréciation des dépôts et cautionnements versés
2977;Provisions pour dépréciation des créances rattachées à des participations et avances à des GIE
2978;Provisions pour dépréciation des créances financières diverses
